"niv1";"name1";"niv2";"name2";"niv3";"name3";"niv4";"name4";"test"
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2905;"CEREALS (excluding beer)";2511;"WHEAT & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2905;"CEREALS (excluding beer)";2513;"BARLEY  & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2905;"CEREALS (excluding beer)";2514;"MAIZE  & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2905;"CEREALS (excluding beer)";2515;"RYE  & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2905;"CEREALS (excluding beer)";2516;"OATS  & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2905;"CEREALS (excluding beer)";2517;"MILLET  & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2905;"CEREALS (excluding beer)";2518;"SORGHUM & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2905;"CEREALS (excluding beer)";2520;"CEREALS, OTHER  & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2907;"STARCHY ROOTS";2531;"POTATOES  & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2907;"STARCHY ROOTS";2532;"CASSAVA & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2907;"STARCHY ROOTS";2533;"SWEET POTATOES  ";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2907;"STARCHY ROOTS";2534;"ROOTS, OTHER  & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2907;"STARCHY ROOTS";2535;"YAMS ";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2908;"SUGAR CROPS";2536;"SUGAR CANE ";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2908;"SUGAR CROPS";2537;"SUGAR BEET ";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2909;"SWEETENERS";2541;"SUGAR NON-CENTRIFUGAL ";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2909;"SWEETENERS";2542;"SUGAR (RAW EQUIVALENT) & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2909;"SWEETENERS";2543;"SWEETENERS, NES & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2911;"PULSES";2546;"BEANS DRY";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2911;"PULSES";2547;"PEAS DRY";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2911;"PULSES";2549;"PULSES, OTHER & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2912;"TREENUTS ";2551;"NUTS & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2913;"OILCROPS";2552;"GROUNDNUTS & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2913;"OILCROPS";2555;"SOYBEANS & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2913;"OILCROPS";2557;"SUNFLOWERSEED ";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2913;"OILCROPS";2558;"RAPE AND MUSTARDSEED & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2913;"OILCROPS";2559;"COTTONSEED ";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2913;"OILCROPS";2560;"COCONUTS (INCL. COPRA) & products ";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2913;"OILCROPS";2561;"SESAMESEED ";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2913;"OILCROPS";2562;"PALM KERNELS & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2913;"OILCROPS";2563;"OLIVES  & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2913;"OILCROPS";2570;"OILCROPS, OTHER  & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2914;"VEGETABLE OILS";2571;"SOYBEAN OIL ";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2914;"VEGETABLE OILS";2572;"GROUNDNUT OIL ";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2914;"VEGETABLE OILS";2573;"SUNFLOWERSEED OIL ";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2914;"VEGETABLE OILS";2574;"RAPE AND MUSTARD OIL & products ";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2914;"VEGETABLE OILS";2575;"COTTONSEED OIL ";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2914;"VEGETABLE OILS";2576;"PALM KERNEL OIL ";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2914;"VEGETABLE OILS";2577;"PALM OIL & products ";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2914;"VEGETABLE OILS";2578;"COPRA OIL ";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2914;"VEGETABLE OILS";2579;"SESAMESEED OIL ";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2914;"VEGETABLE OILS";2580;"OLIVE OIL & products ";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2914;"VEGETABLE OILS";2581;"RICE BRAN OIL ";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2914;"VEGETABLE OILS";2582;"MAIZE GERM OIL ";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2914;"VEGETABLE OILS";2586;"OILCROPS OIL, OTHER & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2918;"VEGETABLES";2601;"TOMATOES  & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2918;"VEGETABLES";2602;"ONIONS, DRY";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2918;"VEGETABLES";2605;"VEGETABLES, OTHER & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2919;"FRUITS (Excluding Wine)";2611;"ORANGES AND MANDARINS & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2919;"FRUITS (Excluding Wine)";2612;"LEMONS AND LIMES & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2919;"FRUITS (Excluding Wine)";2613;"GRAPEFRUIT & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2919;"FRUITS (Excluding Wine)";2614;"CITRUS, OTHER & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2919;"FRUITS (Excluding Wine)";2615;"BANANAS ";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2919;"FRUITS (Excluding Wine)";2616;"PLANTAINS ";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2919;"FRUITS (Excluding Wine)";2617;"APPLES (EXCL. CIDER) & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2919;"FRUITS (Excluding Wine)";2618;"PINEAPPLES & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2919;"FRUITS (Excluding Wine)";2619;"DATES ";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2919;"FRUITS (Excluding Wine)";2620;"GRAPES (EXCL. WINE) & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2919;"FRUITS (Excluding Wine)";2625;"FRUIT, OTHER & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2922;"STIMULANTS";2630;"COFFEE & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2922;"STIMULANTS";2633;"COCOA BEANS & products";1
